2020-04-18 13:24:47.563 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@74dbb1ee, org.springframework.security.web.context.SecurityContextPersistenceFilter@4eed2acf, org.springframework.security.web.header.HeaderWriterFilter@3ab6678b, org.springframework.security.web.csrf.CsrfFilter@6d7cada5, org.springframework.security.web.authentication.logout.LogoutFilter@f08fdce, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@6d025d1d, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@57c47a9e, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@7397c6, org.springframework.security.web.authentication.rememberme.RememberMeAuthenticationFilter@64524dd, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@70f822e, org.springframework.security.web.session.SessionManagementFilter@2b59501e, org.springframework.security.web.access.ExceptionTranslationFilter@285f38f6, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@6ecab872]
2020-04-18 13:24:47.661 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-04-18 13:24:47.708 [main] INFO  o.s.b.a.web.servlet.WelcomePageHandlerMapping - Adding welcome page template: index
2020-04-18 13:24:48.123 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8089"]
2020-04-18 13:24:48.137 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8089 (http) with context path '/springBootWeb'
2020-04-18 13:24:48.139 [main] INFO  c.s.s.SpringbootKuangshenApplication - Started SpringbootKuangshenApplication in 3.074 seconds (JVM running for 3.562)
2020-04-18 13:24:52.201 [http-nio-8089-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/springBootWeb] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-04-18 13:24:52.202 [http-nio-8089-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2020-04-18 13:24:52.209 [http-nio-8089-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 7 ms
2020-04-18 13:28:59.411 [SpringContextShutdownHook] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2020-04-18 13:28:59.411 [SpringContextShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-0} closing ...
2020-04-18 13:29:03.080 [main] INFO  c.s.s.SpringbootKuangshenApplication - Starting SpringbootKuangshenApplication on sch with PID 8018 (/home/sch/project/untitled/springboot-kuangshen/target/classes started by sch in /home/sch/project/untitled/springboot-kuangshen)
2020-04-18 13:29:03.083 [main] INFO  c.s.s.SpringbootKuangshenApplication - No active profile set, falling back to default profiles: default
2020-04-18 13:29:03.701 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2020-04-18 13:29:03.703 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2020-04-18 13:29:03.722 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 7ms. Found 0 Redis repository interfaces.
2020-04-18 13:29:04.142 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8089 (http)
2020-04-18 13:29:04.149 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8089"]
2020-04-18 13:29:04.149 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-04-18 13:29:04.150 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.33]
2020-04-18 13:29:04.202 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/springBootWeb] - Initializing Spring embedded WebApplicationContext
2020-04-18 13:29:04.203 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 1029 ms
2020-04-18 13:29:04.846 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@cbc8d0f, org.springframework.security.web.context.SecurityContextPersistenceFilter@46731692, org.springframework.security.web.header.HeaderWriterFilter@62d73ead, org.springframework.security.web.csrf.CsrfFilter@763cf5b9, org.springframework.security.web.authentication.logout.LogoutFilter@2650f79, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@1d540566, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@3db663d0, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@64f16277, org.springframework.security.web.authentication.rememberme.RememberMeAuthenticationFilter@77d680e6, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@37b57b54, org.springframework.security.web.session.SessionManagementFilter@228cea97, org.springframework.security.web.access.ExceptionTranslationFilter@4f3e7344, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@6428591a]
2020-04-18 13:29:04.943 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-04-18 13:29:04.987 [main] INFO  o.s.b.a.web.servlet.WelcomePageHandlerMapping - Adding welcome page template: index
2020-04-18 13:29:05.415 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8089"]
2020-04-18 13:29:05.429 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8089 (http) with context path '/springBootWeb'
2020-04-18 13:29:05.432 [main] INFO  c.s.s.SpringbootKuangshenApplication - Started SpringbootKuangshenApplication in 2.841 seconds (JVM running for 3.32)
2020-04-18 13:29:07.475 [http-nio-8089-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/springBootWeb] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-04-18 13:29:07.475 [http-nio-8089-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2020-04-18 13:29:07.483 [http-nio-8089-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 7 ms
2020-04-18 13:29:53.388 [SpringContextShutdownHook] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2020-04-18 13:29:53.389 [SpringContextShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-0} closing ...
